name,output,flag,username,timestamp
은서,"hi, 은서",,,2022-12-24 12:50:08.696035
은서,"hi, 은서",,,2022-12-24 12:50:09.784092
은서,"hi, 은서",,,2022-12-24 12:50:09.958704
,,,,2022-12-24 12:50:11.695176
하하,"hi, 하하",,,2022-12-24 12:50:17.166881
하하,"hi, 하하",,,2022-12-24 12:50:17.355503
하하,"hi, 하하",,,2022-12-24 12:50:17.545068
하하,"hi, 하하",,,2022-12-24 12:50:17.816006
하하,"hi, 하하",,,2022-12-24 12:50:18.014513
hana,True,18,42,Good morning hana. It is 18 degrees today,-7.78,your age is 42,,,2022-12-24 13:02:29.876998
D:\dev\dev\Shorts\flagged\input_img\tmp0d72dx99.jpg,D:\dev\dev\Shorts\flagged\output\tmp8ty6wy46.png,,,2022-12-24 13:09:06.049965
